"escalated","dataset","arm","model","wi","divergences","max_treedepth_hit","max_rhat","min_neff_ratio"
FALSE,"r_salina","D","ecxwb1",1.31843156952185e-11,222,0,1.74058623992908,0.00076020681541184
FALSE,"r_salina","D","ecxwb2",1.93881412796855e-08,236,0,1.56629066927787,0.00087725534889331
FALSE,"r_salina","D","ecxll5",0.295362178588593,977,0,1.00230120873817,0.149033135807973
FALSE,"r_salina","D","ecxll4",4.01774131006056e-12,510,0,1.67831276964479,0.000792758949541319
FALSE,"r_salina","SQ","nec3param",1.1083904067347e-13,0,0,1.0050155923137,0.203332998873649
FALSE,"r_salina","SQ","nec4param",0.0239530801188718,2,0,1.00136366944028,0.249720256327425
FALSE,"r_salina","SQ","ecxexp",6.7666362025349e-25,0,0,1.00227754464431,0.354636447428907
FALSE,"r_salina","SQ","ecxsigm",3.1724784804445e-23,0,0,1.00262330901868,0.312741473068547
FALSE,"r_salina","SQ","ecx4param",0.457288840508578,0,0,1.00276128877364,0.105413814683913
FALSE,"r_salina","SQ","ecxwb1",4.90874324510475e-13,2035,0,1.59115642759219,0.000844875541477902
FALSE,"r_salina","SQ","ecxwb2",0.0237046993117408,2,0,1.00292294907542,0.0947994072956054
FALSE,"r_salina","SQ","ecxwb1p3",7.99101359528574e-67,0,0,1.00204458658668,0.315985949544929
