"dataset","arm","model","wi","requested","dropped","dropped_rhat"
"c_proliferum2","D","ecxlin",1.36663872518905e-05,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3",""
"c_proliferum2","D","ecx4param",0.0511959534314496,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3",""
"c_proliferum2","D","ecxwb1",0.0676030454086521,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3",""
"c_proliferum2","D","ecxwb2",0.117272178587277,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3",""
"c_proliferum2","D","ecxll4",0.0564858314743168,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3",""
"c_proliferum2","SQ","nec3param",0.000632835329898602,14,"neclin ecxlin ecxll5",""
"c_proliferum2","SQ","nec4param",0.000425235590586439,14,"neclin ecxlin ecxll5",""
"c_proliferum2","SQ","ecxexp",1.53789266991414e-16,14,"neclin ecxlin ecxll5",""
"c_proliferum2","SQ","ecxsigm",2.0263212742252e-08,14,"neclin ecxlin ecxll5",""
"c_proliferum2","SQ","ecx4param",0.302121519424702,14,"neclin ecxlin ecxll5",""
"c_proliferum2","SQ","ecxwb1",0.155831542030186,14,"neclin ecxlin ecxll5",""
"c_proliferum2","SQ","ecxwb2",0.25485046826764,14,"neclin ecxlin ecxll5",""
"c_proliferum2","SQ","ecxwb1p3",9.49885135435075e-19,14,"neclin ecxlin ecxll5",""
"c_proliferum2","SQ","ecxwb2p3",0.00192500680664006,14,"neclin ecxlin ecxll5",""
"c_proliferum2","SQ","ecxll4",0.284189255198939,14,"neclin ecxlin ecxll5",""
"c_proliferum2","SQ","ecxll3",2.41170881952084e-05,14,"neclin ecxlin ecxll5",""
"r_salina","A","nec4param",0.505573450234923,14,"nec3param ecxexp ecxsigm ecx4param ecxwb1 ecxwb2 ecxwb1p3 ecxwb2p3 ecxll4 ecxll3","ecx4param ecxwb1 ecxwb2 ecxll4"
"r_salina","A","neclin",1.94550117972136e-39,14,"nec3param ecxexp ecxsigm ecx4param ecxwb1 ecxwb2 ecxwb1p3 ecxwb2p3 ecxll4 ecxll3","ecx4param ecxwb1 ecxwb2 ecxll4"
"r_salina","A","ecxlin",7.81191739761344e-39,14,"nec3param ecxexp ecxsigm ecx4param ecxwb1 ecxwb2 ecxwb1p3 ecxwb2p3 ecxll4 ecxll3","ecx4param ecxwb1 ecxwb2 ecxll4"
"r_salina","A","ecxll5",0.494426549765077,14,"nec3param ecxexp ecxsigm ecx4param ecxwb1 ecxwb2 ecxwb1p3 ecxwb2p3 ecxll4 ecxll3","ecx4param ecxwb1 ecxwb2 ecxll4"
"r_salina","B1","nec4param",0.179882365031472,14,"nec3param ecxexp ecxsigm ecxwb1 ecxwb1p3 ecxwb2p3 ecxll5 ecxll4 ecxll3","ecxwb1"
"r_salina","B1","neclin",1.58828194418086e-61,14,"nec3param ecxexp ecxsigm ecxwb1 ecxwb1p3 ecxwb2p3 ecxll5 ecxll4 ecxll3","ecxwb1"
"r_salina","B1","ecxlin",6.07768381558359e-61,14,"nec3param ecxexp ecxsigm ecxwb1 ecxwb1p3 ecxwb2p3 ecxll5 ecxll4 ecxll3","ecxwb1"
