"cell","arm","endpoint","delta","top_factor","R","sigma_ratio","truth","n","bias","bias_mcse","rmse","rmse_mcse","coverage","coverage_mcse","rel_bias","f_neg"
"d4.0_t2.0_R2.3_s8.1","B1","ErC10",4,2,2.3,8.09002951790214,2.01968716248917,500,0.339834873574004,0.016017105393943,0.493462284508347,0.0196396523926684,0.782,0.0184648855940133,0.168261144540412,0.152257142857143
"d4.0_t2.0_R2.3_s8.1","F","ErC50",4,2,2.3,8.09002951790214,5.0532895646328,500,-0.281026111712805,0.0306765134585321,0.740647599045725,0.0610178848726735,0.892,0.0138806339912844,-0.0556125090633364,0.152257142857143
"d4.0_t2.0_R2.3_s8.1","F","NSEC",4,2,2.3,8.09002951790214,1.3,500,1.97009825264728,0.0401997070372675,2.16510492391918,0.0657370449003607,0,0,1.51546019434406,0.152257142857143
"d4.0_t2.0_R2.3_s8.1","A","NSEC",4,2,2.3,8.09002951790214,1.3,500,0.882100522812052,0.0141673090443246,0.937153638673211,0.0163798680549835,0.09,0.0127984374046209,0.678538863701578,0.152257142857143
"d4.0_t2.0_R2.3_s8.1","E","ErC10",4,2,2.3,8.09002951790214,2.01968716248917,500,0.216914197392623,0.011674517841718,0.339208870877437,0.0136817573447431,0.928,0.0115599307956406,0.107399899064213,0.152257142857143
"d4.0_t2.0_R3.3_s8.1","A","ErC50",4,2,3.3,8.09002951790214,5.0532895646328,500,-0.044193392803819,0.00842660728667275,0.193354346832576,0.00576563053362967,0.938,0.0107848041243223,-0.00874547010191575,0.151228571428571
"d4.0_t2.0_R3.3_s8.1","C","ErC50",4,2,3.3,8.09002951790214,5.0532895646328,500,-0.0731246098915058,0.0109524270903592,0.255352858800194,0.00791690294810902,0.824,0.017030795636141,-0.0144706945755283,0.151228571428571
"d4.0_t2.0_R3.3_s8.1","F","ErC10",4,2,3.3,8.09002951790214,2.01968716248917,500,0.796981400356614,0.0251873254126169,0.975574513747401,0.0322023371044343,0.668,0.0210606742532142,0.394606360409982,0.151228571428571
"d4.0_t2.0_R3.3_s8.1","D","ErC50",4,2,3.3,8.09002951790214,5.0532895646328,500,-0.102216722127997,0.0109073497168334,0.264224198224538,0.00856771830155956,0.818,0.0172554918793989,-0.0202277587343097,0.151228571428571
"d4.0_t2.0_R3.3_s8.1","B2","NSEC",4,2,3.3,8.09002951790214,1.3,500,1.8019489261825,0.0114539708984642,1.82002347891239,0.011725403935654,0,0,1.38611455860192,0.151228571428571
"d4.0_t2.0_R3.3_s8.1","A","ErC10",4,2,3.3,8.09002951790214,2.01968716248917,500,0.243847606650726,0.00878026854071372,0.312939482931067,0.009649616492141,0.918,0.0122699633251286,0.120735335243798,0.151228571428571
"d4.0_t2.0_R3.3_s8.1","C","NSEC",4,2,3.3,8.09002951790214,1.3,500,0.438522540068905,0.00951860882454768,0.487353435621324,0.0100240517456411,0.422,0.0220869192057199,0.337325030822235,0.151228571428571
"d4.0_t2.0_R3.3_s8.1","B3","NSEC",4,2,3.3,8.09002951790214,1.3,500,0.855454349758731,0.0147507237393908,0.916720505982173,0.0168039600244791,0.008,0.00398396787135639,0.658041807506716,0.151228571428571
"d4.0_t2.0_R3.3_s8.1","D","NSEC",4,2,3.3,8.09002951790214,1.3,500,0.467590155805138,0.0102267491325721,0.520412496312622,0.012356116934005,0.396,0.0218716254539986,0.359684735234722,0.151228571428571
"d4.0_t2.0_R3.3_s8.1","C","ErC10",4,2,3.3,8.09002951790214,2.01968716248917,500,0.136280453604115,0.0084089886129652,0.2320715314112,0.00878804913619881,0.926,0.0117067501895274,0.0674760211062372,0.151228571428571
"d4.0_t2.0_R3.3_s8.1","B2","ErC50",4,2,3.3,8.09002951790214,5.0532895646328,500,-0.543478866214148,0.00984959663868905,0.586327161608524,0.00895449426686271,0.994,0.00345369367489359,-0.107549519825239,0.151228571428571
"d4.0_t2.0_R3.3_s8.1","B1","NSEC",4,2,3.3,8.09002951790214,1.3,500,0.722440519388132,0.0135041766390617,0.782891649346566,0.0160880456677814,0.074,0.0117067501895274,0.55572347645241,0.151228571428571
