"dataset","arm","endpoint","estimate","lower","upper","preparation","n","n_censored","elapsed","x_min","x_max","design_span","at_lower","at_upper","at_boundary","interval_at_boundary","interval_spans_design","max_rhat","divergences","not_converged","usable"
"r_salina2","C2","ErC10",65.0744144144144,56.0654954954955,75.0843243243243,"interval",70,21,32.3581011295319,0.01,1000,999.99,FALSE,FALSE,FALSE,FALSE,FALSE,1.00225601156995,0,FALSE,TRUE
"r_salina2","D","ErC10",87.2929229229229,74.0803703703704,93.699009009009,"bound",50,0,701.936048269272,0.01,200,199.99,FALSE,FALSE,FALSE,FALSE,FALSE,1.00209183732688,0,FALSE,TRUE
"r_salina2","SQ","ErC10",88.0972072072072,78.0872972972973,94.1031531531532,NA,70,0,32.7943203449249,0.01,1000,999.99,FALSE,FALSE,FALSE,FALSE,FALSE,1.00110289035525,0,FALSE,TRUE
"r_salina2","A","ErC50",134.142792792793,121.12990990991,149.157657657658,"bound",70,0,12.7194974422455,0.01,1000,999.99,FALSE,FALSE,FALSE,FALSE,FALSE,1.00197690777226,0,FALSE,TRUE
"r_salina2","A_raw_dropped","ErC50",119.127927927928,111.12,128.136846846847,"raw",66,0,23.2905557155609,0.01,1000,999.99,FALSE,FALSE,FALSE,FALSE,FALSE,1.0026224767092,0,FALSE,TRUE
"r_salina2","B1","ErC50",108.117027027027,104.113063063063,111.12,"floored",70,0,393.655129671097,0.01,1000,999.99,FALSE,FALSE,FALSE,FALSE,FALSE,1.00126455025926,0,FALSE,TRUE
"r_salina2","B2","ErC50",113.121981981982,0.01,152.160630630631,"bound",70,0,403.049807071686,0.01,1000,999.99,FALSE,FALSE,FALSE,TRUE,FALSE,1.00909743388977,12,FALSE,FALSE
"r_salina2","B3","ErC50",108.117027027027,104.113063063063,111.12,"floored",70,0,9.11304664611816,0.01,1000,999.99,FALSE,FALSE,FALSE,FALSE,FALSE,1.00370023218836,0,FALSE,TRUE
"r_salina2","C","ErC50",117.125945945946,110.119009009009,124.132882882883,"censored",70,21,33.8929679393768,0.01,1000,999.99,FALSE,FALSE,FALSE,FALSE,FALSE,1.00145949695444,0,FALSE,TRUE
"r_salina2","C2","ErC50",117.125945945946,110.119009009009,124.132882882883,"interval",70,21,32.3581011295319,0.01,1000,999.99,FALSE,FALSE,FALSE,FALSE,FALSE,1.00225601156995,0,FALSE,TRUE
"r_salina2","D","ErC50",107.712322322322,103.107947947948,113.317647647648,"bound",50,0,701.936048269272,0.01,200,199.99,FALSE,FALSE,FALSE,FALSE,FALSE,1.00209183732688,0,FALSE,TRUE
"r_salina2","SQ","ErC50",108.117027027027,102.111081081081,113.121981981982,NA,70,0,32.7943203449249,0.01,1000,999.99,FALSE,FALSE,FALSE,FALSE,FALSE,1.00110289035525,0,FALSE,TRUE
"r_salina2","A","NSEC",47.7235102902257,32.3140118865522,66.3176395830621,"bound",70,0,12.7194974422455,0.01,1000,999.99,FALSE,FALSE,FALSE,FALSE,FALSE,1.00197690777226,0,FALSE,TRUE
"r_salina2","A_raw_dropped","NSEC",53.3446480323518,41.5273687354349,64.6852191044983,"raw",66,0,23.2905557155609,0.01,1000,999.99,FALSE,FALSE,FALSE,FALSE,FALSE,1.0026224767092,0,FALSE,TRUE
"r_salina2","B1","NSEC",84.4992990578232,77.4677019393774,89.9051985090134,"floored",70,0,393.655129671097,0.01,1000,999.99,FALSE,FALSE,FALSE,FALSE,FALSE,1.00126455025926,0,FALSE,TRUE
"r_salina2","B2","NSEC",117.230400019678,75.6530252196199,168.294551600352,"bound",70,0,403.049807071686,0.01,1000,999.99,FALSE,FALSE,FALSE,FALSE,FALSE,1.00909743388977,12,FALSE,TRUE
"r_salina2","B3","NSEC",84.5305931958752,77.8074201217663,89.6859293454171,"floored",70,0,9.11304664611816,0.01,1000,999.99,FALSE,FALSE,FALSE,FALSE,FALSE,1.00370023218836,0,FALSE,TRUE
"r_salina2","C","NSEC",58.6491683191372,49.0779564524646,69.5146107706226,"censored",70,21,33.8929679393768,0.01,1000,999.99,FALSE,FALSE,FALSE,FALSE,FALSE,1.00145949695444,0,FALSE,TRUE
"r_salina2","C2","NSEC",58.5748117111775,48.9386933126998,69.8883576313232,"interval",70,21,32.3581011295319,0.01,1000,999.99,FALSE,FALSE,FALSE,FALSE,FALSE,1.00225601156995,0,FALSE,TRUE
"r_salina2","D","NSEC",84.6878795566382,70.0391450335747,92.926727063231,"bound",50,0,701.936048269272,0.01,200,199.99,FALSE,FALSE,FALSE,FALSE,FALSE,1.00209183732688,0,FALSE,TRUE
"r_salina2","SQ","NSEC",85.4255240814603,74.410178756386,92.3723233064776,NA,70,0,32.7943203449249,0.01,1000,999.99,FALSE,FALSE,FALSE,FALSE,FALSE,1.00110289035525,0,FALSE,TRUE
