"dataset","arm","parameter","mean","sd","q2.5","q50","q97.5"
"r_salina2","C","top_Intercept",0.933839170085,0.0171507708544551,0.89950298725,0.93412234,0.96801976425
"r_salina2","C","beta_Intercept",-6.2162607309625,0.216886753803404,-6.71925336,-6.1783016,-5.88728504
"r_salina2","C","nec_Intercept",53.38950605225,5.61618205224682,42.295149575,53.381639,64.517635925
"r_salina2","C","sigma",0.093971782707875,0.0102733009369061,0.076915856525,0.093066974,0.11650700175
"r_salina2","C2","bot_Intercept",-2.7116061704375,0.32743763521778,-3.42587484,-2.66096225,-2.2183228175
"r_salina2","C2","top_Intercept",0.9341706559325,0.0166887906266698,0.9014943275,0.934043615,0.96668982325
"r_salina2","C2","beta_Intercept",-6.1274300459,0.140234887142698,-6.413734715,-6.11912925,-5.872754545
"r_salina2","C2","nec_Intercept",53.5818294615,5.5649321897762,42.444146575,53.6279035,64.845324
"r_salina2","C2","sigma",0.092951011196125,0.00995264015997662,0.075939061825,0.092106936,0.1145611925
"r_salina2","D","bot_Intercept",-0.0193910801197018,0.0827225995968399,-0.22355209975,-0.0059792202,0.097449414025
"r_salina2","D","top_Intercept",0.93321622968375,0.0131563647275563,0.9065275975,0.9332849,0.959085964
"r_salina2","D","beta_Intercept",-3.58104675339875,0.383547588094767,-4.335280885,-3.57749385,-2.85589983
"r_salina2","D","nec_Intercept",82.4671043135,5.95700184970512,67.720498275,83.456577,91.508771525
"r_salina2","D","sigma",0.07671064537475,0.00832725977169509,0.0628019435,0.076020286,0.094842201075
"r_salina2","SQ","bot_Intercept",0.0251440449512,0.00649944863016628,0.0146190637,0.024314236,0.03994377235
"r_salina2","SQ","top_Intercept",0.9684779088125,0.00627821544023542,0.953887588,0.969134775,0.97891538075
"r_salina2","SQ","beta_Intercept",-3.488727451925,0.164039915208977,-3.8006364475,-3.4941692,-3.14786486
"r_salina2","SQ","nec_Intercept",84.181471914125,4.59439992290785,73.627833575,84.739075,91.4356488
"r_salina2","A_raw_dropped","bot_Intercept",-0.9849248765475,0.0930020858731262,-1.1853912125,-0.97858588,-0.8173243695
"r_salina2","A_raw_dropped","top_Intercept",0.93285056200125,0.0188884932743892,0.8949703025,0.93327472,0.96923501225
"r_salina2","A_raw_dropped","beta_Intercept",-5.558069472025,0.119288714919201,-5.79747868,-5.5560595,-5.3201552625
"r_salina2","A_raw_dropped","nec_Intercept",46.9258163385,6.43810162172503,33.8849895,47.1124785,58.764872025
"r_salina2","A_raw_dropped","sigma",0.103087929527125,0.00955258426066666,0.086276403575,0.102441395,0.123875115
