"dataset","arm","endpoint","estimate","lower","upper","n","n_censored","escalated","n_requested","n_averaged","dropped_rhat","elapsed"
"r_salina","SQ","ErC50",5.08583083083083,4.92567867867868,5.24598298298298,85,0,FALSE,14,10,"ecxwb1",191.634010314941
"r_salina","SQ","NSEC",1.65212401734448,0.800307115921641,4.55567932809466,85,0,FALSE,14,10,"ecxwb1",191.634010314941
"r_salina2","A","ErC10",49.0585585585586,26.0357657657658,68.1024121621618,70,0,FALSE,14,7,"",135.681066513062
"r_salina2","A","ErC50",134.142792792793,121.12990990991,150.158648648649,70,0,FALSE,14,7,"",135.681066513062
"r_salina2","A","NSEC",45.685455023122,11.8301859750313,66.1364891411827,70,0,FALSE,14,7,"",135.681066513062
"r_salina2","B1","ErC10",75.0843243243243,59.0684684684685,90.0991891891892,70,0,FALSE,14,7,"",645.497084379196
"r_salina2","B1","ErC50",109.118018018018,105.114054054054,116.124954954955,70,0,FALSE,14,7,"",645.497084379196
"r_salina2","B1","NSEC",61.1513000558534,24.5124594860733,88.8302381229288,70,0,FALSE,14,7,"",645.497084379196
"r_salina2","B2","ErC10",85.0942342342342,19.0288288288288,137.145765765766,70,0,FALSE,6,5,"nec4param",402.213068962097
"r_salina2","B2","ErC50",116.124954954955,78.0872972972973,170.228518018018,70,0,FALSE,6,5,"nec4param",402.213068962097
"r_salina2","B2","NSEC",98.9294658633491,43.8414357073665,148.06616372238,70,0,FALSE,6,5,"nec4param",402.213068962097
"r_salina2","B3","ErC10",76.0853153153153,59.0684684684685,90.0991891891892,70,0,FALSE,6,6,"",91.7038741111755
"r_salina2","B3","ErC50",109.118018018018,105.114054054054,116.124954954955,70,0,FALSE,6,6,"",91.7038741111755
"r_salina2","B3","NSEC",60.9235150150258,25.1155904151308,88.4239607301236,70,0,FALSE,6,6,"",91.7038741111755
"r_salina2","C","ErC10",65.0744144144144,51.0605405405405,75.0843243243243,70,21,FALSE,14,7,"",299.894017934799
"r_salina2","C","ErC50",117.125945945946,109.118018018018,124.132882882883,70,21,FALSE,14,7,"",299.894017934799
"r_salina2","C","NSEC",58.3477771998702,44.7343152552944,69.5086482242711,70,21,FALSE,14,7,"",299.894017934799
"r_salina2","C2","ErC10",65.0744144144144,54.0635135135135,75.0843243243243,70,21,FALSE,14,7,"",284.759401798248
"r_salina2","C2","ErC50",117.125945945946,110.119009009009,124.132882882883,70,21,FALSE,14,7,"",284.759401798248
"r_salina2","C2","NSEC",58.5158029850258,47.5833445406168,69.9309275946233,70,21,FALSE,14,7,"",284.759401798248
"r_salina2","D","ErC10",75.8820820820821,58.0651551551552,91.8972972972973,50,0,FALSE,14,8,"",1469.38498568535
"r_salina2","D","ErC50",109.313843843844,103.308138138138,117.121261261261,50,0,FALSE,14,8,"",1469.38498568535
"r_salina2","D","NSEC",63.3076831268787,31.9661021755279,90.3253655535112,50,0,FALSE,14,8,"",1469.38498568535
"r_salina2","SQ","ErC10",82.0912612612613,70.0793693693694,93.1021621621622,70,0,FALSE,14,11,"",341.199985980988
"r_salina2","SQ","ErC50",110.119009009009,103.112072072072,119.127927927928,70,0,FALSE,14,11,"",341.199985980988
"r_salina2","SQ","NSEC",68.7124976540615,38.8129018307007,91.4027553908028,70,0,FALSE,14,11,"",341.199985980988
