"arm","x","est","lo","hi"
"B1",3.53232354011778,0.078710235251741,0.0713809148601177,0.0877920153611834
"B1",3.62527942275246,0.0764480383299038,0.069243954121722,0.0849287842482392
"B1",3.71823530538714,0.0742508207574788,0.0671277772671099,0.0822745177939005
"B1",3.81119118802182,0.0721166454339638,0.0650820314599675,0.0797228768156265
"B1",3.90414707065649,0.0700436354026108,0.0630414795550018,0.0773866401179534
"B1",3.99710295329117,0.0680299718968575,0.0610875622315128,0.0752120146625765
"B1",4.09005883592585,0.0660738924535111,0.0590762422639135,0.0731662503516392
"B1",4.18301471856053,0.0641736890902691,0.0571498354937941,0.0712051382446189
"B1",4.27597060119521,0.0623277065452557,0.0552808526316343,0.0693253113998247
"B1",4.36892648382989,0.0605343405763405,0.0534633181926341,0.0674998818053833
"B1",4.46188236646456,0.058792036318094,0.0516292348338448,0.0657631528220046
"B1",4.55483824909924,0.0570992866943131,0.0498713592378555,0.0641343701898972
"B1",4.64779413173392,0.0554546308841321,0.0480959589956503,0.0624688450735734
"B1",4.7407500143686,0.0538566528398082,0.0463650977721885,0.0609149421714993
