"dataset","endpoint","arm","estimate","lower","upper","preparation","n","n_censored","elapsed","x_min","x_max","design_span","at_lower","at_upper","at_boundary","interval_at_boundary","interval_spans_design","max_rhat","divergences","not_converged","usable","a_est","r","rlo","rhi"
"r_salina2","ErC10","A",51.0605405405405,36.0456756756757,69.0783783783784,"bound",70,0,12.7194974422455,0.01,1000,999.99,FALSE,FALSE,FALSE,FALSE,FALSE,1.00197690777226,0,FALSE,TRUE,51.0605405405405,1,0.705939954690776,1.35287205437107
"r_salina2","ErC10","B1",87.0962162162162,81.0902702702703,92.1011711711712,"floored",70,0,393.655129671097,0.01,1000,999.99,FALSE,FALSE,FALSE,FALSE,FALSE,1.00126455025926,0,FALSE,TRUE,51.0605405405405,1.70574410874214,1.58812009061845,1.80376412384522
"r_salina2","ErC10","B2",0.01,0.01,135.143783783784,"bound",70,0,403.049807071686,0.01,1000,999.99,TRUE,FALSE,TRUE,TRUE,FALSE,1.00909743388977,12,FALSE,FALSE,51.0605405405405,0.00019584594863543,0.00019584594863543,2.64673625373167
"r_salina2","ErC10","B3",87.0962162162162,81.0902702702703,91.1001801801802,"floored",70,0,9.11304664611816,0.01,1000,999.99,FALSE,FALSE,FALSE,FALSE,FALSE,1.00370023218836,0,FALSE,TRUE,51.0605405405405,1.70574410874214,1.58812009061845,1.7841601208246
"r_salina2","ErC10","C",65.0744144144144,56.0654954954955,75.0843243243243,"censored",70,21,33.8929679393768,0.01,1000,999.99,FALSE,FALSE,FALSE,FALSE,FALSE,1.00145949695444,0,FALSE,TRUE,51.0605405405405,1.27445604228861,1.09802001510308,1.47049607249476
"r_salina2","ErC10","D",87.2929229229229,74.0803703703704,93.699009009009,"bound",50,0,701.936048269272,0.01,200,199.99,FALSE,FALSE,FALSE,FALSE,FALSE,1.00209183732688,0,FALSE,TRUE,51.0605405405405,1.70959652989993,1.45083404104492,1.83505713055691
"r_salina2","ErC50","A",134.142792792793,121.12990990991,149.157657657658,"bound",70,0,12.7194974422455,0.01,1000,999.99,FALSE,FALSE,FALSE,FALSE,FALSE,1.00197690777226,0,FALSE,TRUE,134.142792792793,1,0.902992306839894,1.11193195364628
"r_salina2","ErC50","B1",108.117027027027,104.113063063063,111.12,"floored",70,0,393.655129671097,0.01,1000,999.99,FALSE,FALSE,FALSE,FALSE,FALSE,1.00126455025926,0,FALSE,TRUE,134.142792792793,0.805984613679787,0.776136092707447,0.828371004409043
"r_salina2","ErC50","B2",113.121981981982,0.01,152.160630630631,"bound",70,0,403.049807071686,0.01,1000,999.99,FALSE,FALSE,FALSE,TRUE,FALSE,1.00909743388977,12,FALSE,FALSE,134.142792792793,0.843295264895213,7.45474266026856e-05,1.13431834437553
"r_salina2","ErC50","B3",108.117027027027,104.113063063063,111.12,"floored",70,0,9.11304664611816,0.01,1000,999.99,FALSE,FALSE,FALSE,FALSE,FALSE,1.00370023218836,0,FALSE,TRUE,134.142792792793,0.805984613679787,0.776136092707447,0.828371004409043
"r_salina2","ErC50","C",117.125945945946,110.119009009009,124.132882882883,"censored",70,21,33.8929679393768,0.01,1000,999.99,FALSE,FALSE,FALSE,FALSE,FALSE,1.00145949695444,0,FALSE,TRUE,134.142792792793,0.873143785867553,0.820908874165957,0.925378697569149
"r_salina2","ErC50","D",107.712322322322,103.107947947948,113.317647647648,"bound",50,0,701.936048269272,0.01,200,199.99,FALSE,FALSE,FALSE,FALSE,FALSE,1.00209183732688,0,FALSE,TRUE,134.142792792793,0.802967644252811,0.768643218180318,0.844753902080203
"r_salina2","NSEC","A",47.7235102902257,32.3140118865522,66.3176395830621,"bound",70,0,12.7194974422455,0.01,1000,999.99,FALSE,FALSE,FALSE,FALSE,FALSE,1.00197690777226,0,FALSE,TRUE,47.7235102902257,1,0.677108865002549,1.38962199510803
"r_salina2","NSEC","B1",84.4992990578232,77.4677019393774,89.9051985090134,"floored",70,0,393.655129671097,0.01,1000,999.99,FALSE,FALSE,FALSE,FALSE,FALSE,1.00126455025926,0,FALSE,TRUE,47.7235102902257,1.77060108411869,1.6232607674554,1.88387647853781
