"cell","arm","endpoint","n","bias","bias_mcse","rmse","rmse_mcse","coverage","coverage_mcse"
"d2.0_t0.8_R2.3_s8.1","B1","ErC10",467,0.24957236734436,0.0173552644673467,0.450164405464014,0.0223431874968469,0.952890792291221,0.00980428720822209
"d2.0_t1.0_R2.3_s8.1","B1","ErC10",480,0.348818710697919,0.0175575266978528,0.518974241352307,0.0195326286198524,0.922916666666667,0.0121742122482623
"d2.0_t2.0_R2.3_s8.1","B1","ErC10",477,0.677654005964092,0.0251826255597856,0.872397452838636,0.0315392491798683,0.769392033542977,0.0192864282597371
"d4.0_t0.8_R2.3_s8.1","B1","ErC10",481,0.042775986320287,0.0116593848451121,0.259001133954196,0.0117620621169919,0.958419958419958,0.00910223085244222
"d4.0_t1.0_R2.3_s8.1","B1","ErC10",482,0.0932740095086727,0.0119632794445342,0.27846146472634,0.0150714978808929,0.964730290456432,0.00840195555337651
"d4.0_t2.0_R17.0_s8.1","B1","ErC10",484,0.260524287634061,0.00309558120821446,0.269260675488043,0.00388447787643917,0.18595041322314,0.0176848476631952
"d4.0_t2.0_R2.3_s8.1","B1","ErC10",475,0.314126241240666,0.0152444902180481,0.456979518039768,0.0169287960934029,0.793684210526316,0.0185670667403922
"d4.0_t2.0_R3.3_s8.1","B1","ErC10",456,0.284254048876521,0.0122661263953656,0.386340121036657,0.015852479354283,0.739035087719298,0.0205655897048966
"d4.0_t2.0_R73.0_s8.1","B1","ErC10",500,0.264658104875564,0.00190531834595087,0.268058577997486,0.00190093533341883,0.018,0.005945754788082
"d8.0_t0.8_R2.3_s8.1","B1","ErC10",485,-0.0195586197546476,0.0073463878211595,0.162799680564322,0.00504801201774915,0.94639175257732,0.0102277571818571
"d8.0_t1.0_R2.3_s8.1","B1","ErC10",486,0.0341261783349924,0.00883150268135137,0.197464893737974,0.00640286853339665,0.895061728395062,0.0139019368900625
"d8.0_t2.0_R2.3_s8.1","B1","ErC10",422,0.159036613388339,0.00770338717106185,0.224222433340192,0.0116133231218645,0.803317535545024,0.0193495210168189
