"escalated","dataset","arm","model","wi","divergences","max_treedepth_hit","max_rhat","min_neff_ratio"
FALSE,"r_salina","B3","ecxwb2",0.16551337231629,3,0,1.0031921970081,0.266115539166969
FALSE,"r_salina","B3","ecxll5",0.131894624222534,2193,0,1.01113659956485,0.0876280104409875
FALSE,"r_salina","B3","ecxll4",0.299796733778927,51,0,1.00098363211389,0.168203956910786
FALSE,"r_salina","C","nec4param",0.313050787878169,5,0,1.00197705421554,0.198315928162627
FALSE,"r_salina","C","neclin",0.333914096028407,7,0,1.00269979101196,0.0922530801576877
FALSE,"r_salina","C","ecxlin",5.45453584008214e-52,0,0,1.00246315121863,0.440590515534128
FALSE,"r_salina","C","ecx4param",4.8765076804963e-54,0,0,1.00227292823237,0.255256081822041
FALSE,"r_salina","C","ecxwb1",3.16299199031475e-54,0,0,1.00195195095068,0.198751333385132
FALSE,"r_salina","C","ecxwb2",7.90637682801106e-48,26,0,1.53005352391492,0.000895080744217411
FALSE,"r_salina","C","ecxll5",0.353035116093423,2175,0,1.0047861785578,0.146581604540792
FALSE,"r_salina","C","ecxll4",4.77429232740885e-54,0,0,1.0017296503031,0.246727844296525
FALSE,"r_salina","C2","nec4param",1,637,0,1.47094471739363,0.000965337748092965
FALSE,"r_salina","C2","neclin",1.90550826201708e-74,0,0,1.00086035150905,0.427576181316128
FALSE,"r_salina","C2","ecxlin",1.32888380598382e-74,0,0,1.00169345331433,0.368444685732751
FALSE,"r_salina","C2","ecx4param",1.56893158848509e-64,0,0,1.00313451717559,0.330136584951685
FALSE,"r_salina","C2","ecxwb1",1.31974644697225e-55,419,0,1.53019397007722,0.000895551250281206
FALSE,"r_salina","C2","ecxwb2",8.26266517538586e-58,76,1,1.53018905558528,0.000890859915504436
FALSE,"r_salina","C2","ecxll4",1.62405960842126e-64,0,0,1.00192265635899,0.315808789159068
FALSE,"r_salina","D","nec4param",0.353216829862455,18,0,1.00462750089342,0.143206583262869
FALSE,"r_salina","D","neclin",0.35102402459724,0,0,1.00260044734721,0.340932106187491
FALSE,"r_salina","D","ecxlin",6.98940428391253e-16,0,0,1.00202379274892,0.405134307308888
FALSE,"r_salina","D","ecx4param",5.80364651044031e-16,0,0,1.00355835751375,0.221175391012536
FALSE,"r_salina","D","ecxwb1",7.36618212103604e-12,222,0,1.74058623992908,0.00076020681541184
FALSE,"r_salina","D","ecxwb2",1.78495904111659e-08,236,0,1.56629066927787,0.00087725534889331
FALSE,"r_salina","D","ecxll5",0.295759127683347,977,0,1.00230120873817,0.149033135807973
FALSE,"r_salina","D","ecxll4",5.26750625641103e-16,0,0,1.00197974254908,0.190979584405019
FALSE,"r_salina","SQ","nec3param",2.13151112140345e-13,0,0,1.00260313443587,0.166395681591918
FALSE,"r_salina","SQ","nec4param",0.0201459051554408,7,0,1.00155620274891,0.235841007616589
FALSE,"r_salina","SQ","ecxexp",4.612381347492e-26,0,0,1.00141415019616,0.329794594637062
FALSE,"r_salina","SQ","ecxsigm",1.715491937167e-22,0,0,1.00126843465009,0.322664301827163
FALSE,"r_salina","SQ","ecx4param",0.413928369775054,0,0,1.0029738432053,0.0365572610693858
FALSE,"r_salina","SQ","ecxwb1",7.99061262781833e-13,1839,0,1.59204165680423,0.00084667945515263
FALSE,"r_salina","SQ","ecxwb2",0.0205734517718586,0,0,1.00304768506074,0.0756871690088487
FALSE,"r_salina","SQ","ecxwb1p3",7.06614195666383e-67,0,0,1.00213610192711,0.357019903146341
FALSE,"r_salina","SQ","ecxwb2p3",1.40149931758679e-17,0,0,1.00172092672804,0.280911015148206
FALSE,"r_salina","SQ","ecxll4",0.545352273296635,0,0,1.0015995174191,0.12621639088097
FALSE,"r_salina","SQ","ecxll3",1.84230057638739e-23,0,0,1.00214591980436,0.316730439457891
FALSE,"r_salina2","A","nec4param",0.834096780126069,0,0,1.00197690777226,0.313415184379673
FALSE,"r_salina2","A","neclin",0.000548044749893392,0,0,1.00092104271443,0.399763074043507
FALSE,"r_salina2","A","ecxlin",0.0124053122347881,0,0,1.00261190711307,0.377037727100154
FALSE,"r_salina2","A","ecx4param",0.0438009679206679,0,0,1.00344752592339,0.253661194318604
FALSE,"r_salina2","A","ecxwb1",0.0147313727158989,0,0,1.00158252086353,0.259870343355739
FALSE,"r_salina2","A","ecxwb2",0.0619558685231655,0,0,1.00460572122577,0.226447174083126
FALSE,"r_salina2","A","ecxll4",0.0324616537295167,0,0,1.00215336938732,0.236995587759396
FALSE,"r_salina2","B1","nec4param",0.281655477183151,0,0,1.00126455025926,0.405755878370108
FALSE,"r_salina2","B1","neclin",4.31778483948948e-29,0,0,1.00065248541594,0.388502595005207
FALSE,"r_salina2","B1","ecxlin",1.33303915217448e-27,0,0,1.00237675468239,0.361911559692064
FALSE,"r_salina2","B1","ecx4param",0.134343001182223,0,0,1.00084150970011,0.39318056346189
FALSE,"r_salina2","B1","ecxwb1",0.0968449558494878,0,0,1.00185650100765,0.383600065567797
FALSE,"r_salina2","B1","ecxwb2",0.30153727438187,0,0,1.00116683434576,0.405837590768776
FALSE,"r_salina2","B1","ecxll4",0.185619291403268,0,0,1.00069338653251,0.392291170959333
FALSE,"r_salina2","B2","nec4param",0.083277752039515,7,5747,1.07880793277445,0.00406847481018746
FALSE,"r_salina2","B2","ecx4param",0.201355429687433,1492,0,1.00533652924139,0.107971320503644
FALSE,"r_salina2","B2","ecxwb1",0.157588411304892,1527,0,1.00305225531262,0.121973519737763
FALSE,"r_salina2","B2","ecxwb2",0.178178605000555,1851,0,1.00627624356622,0.112634604618008
FALSE,"r_salina2","B2","ecxll5",0.181716358479731,4107,0,1.00378168045616,0.0492026263470875
FALSE,"r_salina2","B2","ecxll4",0.197883443487874,1595,0,1.0055150650137,0.134219498591066
FALSE,"r_salina2","B3","nec4param",0.276694604963936,0,0,1.0014114189547,0.36878913674987
FALSE,"r_salina2","B3","ecx4param",0.150814307628717,0,0,1.00108410830624,0.457594445321262
FALSE,"r_salina2","B3","ecxwb1",0.0788084736463225,0,0,1.00205279642992,0.385061223921292
FALSE,"r_salina2","B3","ecxwb2",0.177116216854383,0,0,1.00264815378892,0.411579825327426
FALSE,"r_salina2","B3","ecxll5",0.134467843202143,2103,0,1.00613603115994,0.101438627296945
FALSE,"r_salina2","B3","ecxll4",0.182098553704498,0,0,1.00077773619233,0.396661737083789
FALSE,"r_salina2","C","nec4param",0.88578842661203,0,0,1.00145949695444,0.241178888065823
FALSE,"r_salina2","C","neclin",0.0945324638655935,0,0,1.00266341024207,0.350651563657719
FALSE,"r_salina2","C","ecxlin",0.0143897694090214,0,0,1.00176094520472,0.386181524450253
FALSE,"r_salina2","C","ecx4param",0.00152489501091987,0,0,1.00300910981192,0.118750503288001
FALSE,"r_salina2","C","ecxwb1",0.00115407484084487,0,0,1.00237921574602,0.141744214722411
FALSE,"r_salina2","C","ecxwb2",0.00125602168943614,0,0,1.00512303777352,0.0776684773835118
FALSE,"r_salina2","C","ecxll4",0.00135434857215382,0,0,1.00305085153658,0.152639791254134
FALSE,"r_salina2","C2","nec4param",0.98915510076168,0,0,1.00225601156995,0.331953999527581
FALSE,"r_salina2","C2","neclin",1.65584300800102e-09,0,0,1.00080300398688,0.408482584732937
FALSE,"r_salina2","C2","ecxlin",1.06298926722707e-07,0,0,1.00181216619123,0.401005897961405
FALSE,"r_salina2","C2","ecx4param",0.00308503017081824,0,0,1.00345812278538,0.149067657289034
FALSE,"r_salina2","C2","ecxwb1",0.00275991121546323,0,0,1.00307499615091,0.144562596767482
FALSE,"r_salina2","C2","ecxwb2",0.0019963396425285,0,0,1.00186696396393,0.104405770385535
FALSE,"r_salina2","C2","ecxll4",0.00300351025474036,0,0,1.00353274700356,0.120184334798251
FALSE,"r_salina2","D","nec4param",0.160373398670259,0,0,1.00209183732688,0.22941683117626
FALSE,"r_salina2","D","neclin",0.0208614962218765,0,0,1.00343481809458,0.295356999356498
FALSE,"r_salina2","D","ecxlin",0.00522775650304167,0,0,1.00150207887816,0.353079928495501
FALSE,"r_salina2","D","ecx4param",0.158050523412057,0,0,1.00213534158031,0.295675690791532
FALSE,"r_salina2","D","ecxwb1",0.0640328365476699,0,0,1.0054998301292,0.109138842588156
FALSE,"r_salina2","D","ecxwb2",0.357720297313906,0,0,1.00164587654427,0.360336883195974
FALSE,"r_salina2","D","ecxll5",0.0721532711616217,1579,0,1.00480443389288,0.0972855199099183
FALSE,"r_salina2","D","ecxll4",0.161580420169569,0,0,1.00102137730131,0.249993791241176
FALSE,"r_salina2","SQ","nec3param",1.56897344875642e-17,0,0,1.0033715294442,0.228455209970487
FALSE,"r_salina2","SQ","nec4param",0.403561708499063,0,0,1.00110289035525,0.288178522300044
FALSE,"r_salina2","SQ","ecxexp",1.24924746794083e-18,0,0,1.00311316864342,0.214700185191327
FALSE,"r_salina2","SQ","ecxsigm",8.06414895286886e-19,0,0,1.00168689899447,0.283335729367788
FALSE,"r_salina2","SQ","ecx4param",0.0916482287406991,0,0,1.00104258834079,0.37051290931735
